epoch,train_loss,train_psnr,train_ssim,valid_loss,valid_psnr,valid_ssim,valid_lpips
1,0.08078333154320717,19.57137777328491,0.394278973788023,0.048712199819939475,44.822714124407085,0.5659320439611163,0.3681637687342508
2,0.045928940102458,23.035074996948243,0.6216671097278595,0.04296297260693142,46.587219783238005,0.6552509239741734,0.3080540640013559
3,0.040177719742059706,24.24924861907959,0.6900728011131286,0.03671298122831753,49.8331059047154,0.7110638873917716,0.24030483833381108
4,0.035494056791067125,25.114045028686522,0.7355788445472717,0.03345447725483349,51.09932163783482,0.7483254841395787,0.21655984222888947
5,0.031882894188165666,25.890612182617186,0.775077520608902,0.03213310268308435,52.519504002162385,0.7684943931443351,0.16926282857145583
6,0.03013940863311291,26.410274963378907,0.7958704710006714,0.026258947061640874,55.18053436279297,0.8103823491505214,0.14057274907827377
7,0.027981066480278968,26.912052116394044,0.8137149965763092,0.029126197631869997,53.47990417480469,0.8053436534745353,0.1535709042634283
8,0.026820642948150633,27.230533790588378,0.827447099685669,0.027431156220180646,54.39572416033064,0.8245932885578701,0.13513104511158808
9,0.02702417556196451,27.25741481781006,0.8289840304851532,0.02745851980788367,54.04202325003488,0.8264728443963187,0.13819723576307297
10,0.025284631438553334,27.76755729675293,0.8390957546234131,0.026825130251901492,54.423785073416575,0.834877780505589,0.12431778971637998
